"Species" "Area" "Mean" "StdDev" "Mode" "Perim" "Width" "Height" "Major" "Minor" "Angle" "Circ" "Feret" "IntDen" "Median" "Skew" "Kurt"
"1203" "Taeniopteryxnebulose" 37530 78.693 30.432 54 2776.283 763 225 428.426 111.535 10.797 0.061 767.61 2953347 73 0.426 -0.985
"1204" "Taeniopteryxnebulose" 37310 61.688 34.984 42 3011.992 478 484 333.662 142.373 35.45 0.052 523.717 2301578 51 0.773 -0.487
"1205" "Taeniopteryxnebulose" 37262 55.942 42.525 0 3232.245 437 385 314.526 150.841 144.959 0.045 504.417 2084493 47 0.467 -0.985
"1206" "Taeniopteryxnebulose" 36929 67.769 37.718 26 3559.056 393 541 313.736 149.869 85.792 0.037 566.74 2502656 57 0.484 -1.143
"1207" "Taeniopteryxnebulose" 36441 58.556 38.427 18 3387.635 385 521 290.231 159.866 138.52 0.04 590.834 2133828 52 0.472 -0.971
"1208" "Taeniopteryxnebulose" 36383 80.796 27.171 83 3121.583 310 499 316.87 146.193 117.356 0.047 501.702 2939590 81 0.051 -0.382
"1209" "Taeniopteryxnebulose" 36121 57.853 49.274 0 2964.983 509 354 327.838 140.285 150.098 0.052 552.655 2089695 46 0.29 -1.465
"1210" "Taeniopteryxnebulose" 35805 42.11 45.537 0 2718.827 644 249 363.432 125.438 5.916 0.061 644.698 1507750 21 0.77 -0.845
"1211" "Taeniopteryxnebulose" 35741 68.695 32.393 54 3561.206 420 499 300.451 151.462 152.563 0.035 539.935 2455222 60 0.594 -0.686
"1212" "Taeniopteryxnebulose" 35449 77.873 28.263 56 3243.24 678 329 336.795 134.013 176.177 0.042 699.269 2760504 75 0.404 -0.614
"1213" "Taeniopteryxnebulose" 35257 80.527 33.518 90 3156.054 482 325 279.368 160.686 157.775 0.044 524.965 2839145 84 -0.065 -1.014
"1214" "Taeniopteryxnebulose" 35042 67.106 45.188 0 2080.768 447 289 325.361 137.13 167.013 0.102 473.44 2351519 65 0.111 -1.386
"1215" "Taeniopteryxnebulose" 34910 65.981 34.745 38 3591.809 413 486 300.935 147.702 47.119 0.034 535.228 2303400 59 0.532 -0.719
"1216" "Taeniopteryxnebulose" 34848 72.172 38.397 79 2649.878 352 487 285.475 155.424 99.191 0.062 511.989 2515059 74 0 -1.018
"1217" "Taeniopteryxnebulose" 34824 50.725 35.209 21 2388.782 293 499 292.761 151.452 79.958 0.077 503.216 1766455 42 0.9 -0.059
"1218" "Taeniopteryxnebulose" 34423 47.219 44.174 0 3934.284 597 498 308.103 142.253 147.391 0.028 637.501 1625430 39 0.549 -1.04
"1219" "Taeniopteryxnebulose" 34146 60.047 39.673 0 3149.147 415 466 259.545 167.509 43.586 0.043 510.283 2050359 58 0.282 -1.006
"1220" "Taeniopteryxnebulose" 34118 70.33 34.005 38 2378.758 327 439 316.484 137.259 60.081 0.076 466.23 2399525 59 0.641 -0.89
"1221" "Taeniopteryxnebulose" 34109 46.658 42.48 8 3204.696 463 550 370.752 117.138 38.617 0.042 648.46 1591450 29 0.822 -0.704
"1222" "Taeniopteryxnebulose" 33868 73.538 30.803 40 2814.796 384 436 297.241 145.074 56.51 0.054 472.745 2490589 65 0.676 -0.724
