il;p26;p29;p30;p31;p67;p68;p69;p70;p71;p72;p73;p74;p75;p76;p77;p78;p79;p80;p81;p82;p83;p84;p85;p86;p87;p88;p89;p90;p91;p92;p93;p94;p95;p96;p97;p98;p99;p100;p101;p102;p103;p104;p105;p106;p107;p108;p109;p110;p111;p112;p113;p114;p115;p116;p117;p118;p119;p120;p121;p122;p123;p124;p217;p218;p219;p220;p221;p222;p223;p224;p225;p226;koul;amm
3;5;6;11;4;3;2;3;3;3;3;3;3;3;2;3;1;3;3;4;3;3;1;5;1;1;1;3;1;4;4;2;2;4;1;1;1;3;2;1;3;1;1;1;1;2;4;3;5;4;3;3;3;2;3;2;3;2;3;2;3;4;4;2;2;3;2;1;2;2;2;3;3;1;3
3;5;12;11;6;1;1;2;3;3;1;1;5;5;5;5;4;4;1;5;2;4;1;5;1;1;1;3;4;4;4;1;1;4;4;1;4;3;3;1;3;1;4;1;1;4;5;5;5;5;3;5;5;5;5;5;3;3;1;3;3;5;1;1;1;4;1;2;3;4;2;4;3;1;2
3;11;11;11;8;3;4;5;4;5;4;4;3;5;5;3;3;4;4;3;2;3;5;5;5;1;3;2;2;3;2;3;2;2;1;3;1;2;2;3;2;3;2;2;3;1;2;4;2;3;1;3;1;2;2;1;1;2;3;2;1;1;1;3;3;1;2;1;1;2;1;1;1;2;2
2;22;15;13;8;5;3;4;5;5;3;4;5;3;2;3;3;2;3;3;4;2;2;5;5;4;3;2;2;4;2;3;2;3;2;3;3;2;3;2;3;3;3;3;2;3;3;4;5;5;4;4;4;4;3;2;2;2;1;1;1;3;2;2;3;2;2;3;3;3;2;2;1;1;3
2;34;16;11;15;2;2;2;2;2;2;2;2;2;2;5;2;2;2;3;2;3;3;5;2;2;1;3;2;4;4;1;2;3;4;1;3;3;2;3;4;2;4;3;2;3;5;4;5;5;4;4;5;4;5;5;4;4;3;3;3;4;5;2;2;3;1;3;2;3;3;2;2;3;1
2;3;12;9;9;3;2;2;2;3;3;2;4;3;3;5;3;3;4;4;4;3;2;5;2;2;3;2;3;4;4;2;2;4;3;3;4;3;2;3;4;3;4;4;2;3;4;5;4;5;3;4;4;3;3;3;4;3;2;3;3;3;3;3;2;3;2;1;2;2;3;2;3;1;3
2;10;5;7;4;3;2;1;1;3;1;2;3;2;3;1;1;2;4;3;2;3;1;2;1;2;3;1;3;3;1;1;1;2;1;3;1;2;3;1;2;2;2;2;1;3;4;5;5;4;3;5;4;3;2;2;4;4;3;3;3;2;2;2;2;3;2;3;2;2;3;3;3;1;3
1;20;16;13;11;3;3;4;4;2;2;2;5;4;2;2;3;3;2;4;4;3;2;3;3;4;3;3;3;4;2;3;3;4;2;2;3;3;3;2;4;2;3;4;2;3;5;5;5;5;3;3;2;1;2;1;3;3;4;3;4;5;1;2;2;3;2;1;1;1;2;3;3;2;1
1;20;14;14;9;2;2;2;2;3;3;2;1;2;2;3;1;2;2;5;4;2;2;5;2;1;2;4;4;3;4;1;1;4;4;2;4;4;1;3;4;2;3;3;1;4;4;5;5;5;5;5;5;3;4;1;3;2;3;3;5;4;4;2;2;4;2;3;2;2;2;4;4;2;2
1;10;12;11;12;3;2;2;3;3;2;2;2;2;2;2;2;3;2;5;5;4;4;4;2;2;2;3;3;3;4;2;1;4;4;1;3;3;2;3;3;2;4;4;2;4;4;5;5;5;2;3;3;5;5;5;5;5;3;4;3;4;2;2;2;3;2;2;2;2;3;4;4;1;3
2;13;12;14;13;3;2;2;4;2;3;3;2;3;4;5;2;2;3;2;3;4;2;2;4;4;3;2;2;2;2;3;3;3;2;3;2;2;3;2;3;3;4;2;2;3;5;3;5;5;2;3;2;2;2;2;4;2;2;2;3;4;2;2;2;3;2;3;2;2;2;3;3;1;3
2;24;12;14;9;2;2;2;3;2;2;1;4;2;2;2;2;4;2;4;4;2;4;5;1;2;1;3;3;4;3;2;3;4;3;2;3;4;1;2;4;1;3;3;1;4;3;5;5;5;5;5;4;3;3;3;4;3;3;2;3;2;3;1;1;3;2;4;1;1;3;4;3;2;1
3;8;8;9;7;2;3;3;3;2;3;2;4;5;2;5;2;1;2;3;2;2;3;4;2;3;1;3;2;4;4;1;1;4;3;1;4;3;1;1;4;1;4;4;2;4;4;5;3;5;4;3;4;2;3;1;4;5;3;3;3;4;3;2;1;3;2;2;2;1;3;3;3;1;2
3;1;6;7;4;2;1;1;2;1;1;1;4;1;1;2;1;1;1;1;1;1;1;5;1;1;1;1;3;4;4;1;1;3;2;1;3;4;2;1;3;2;3;2;1;3;1;5;5;5;5;5;5;5;1;1;5;5;1;1;3;1;2;1;1;4;1;4;3;1;1;4;2;1;1
3;4;8;11;6;2;2;2;2;2;2;2;5;5;2;3;4;4;1;4;1;4;1;5;1;2;2;2;3;3;4;2;1;4;4;3;1;4;3;1;4;1;2;4;2;4;4;1;1;3;1;2;2;5;4;5;4;2;2;4;3;2;1;2;2;4;1;2;1;1;3;2;2;1;3
2;5;11;11;6;2;2;1;2;1;2;2;3;3;2;3;1;2;1;5;2;2;4;5;1;2;1;3;3;4;3;1;1;3;3;1;3;4;1;4;3;1;3;4;1;4;4;5;5;5;3;4;4;2;4;4;4;3;3;1;4;2;2;1;2;4;1;3;1;2;3;4;4;1;2
2;9;10;14;6;2;3;2;3;4;3;2;3;4;3;5;2;1;1;4;1;2;2;3;3;3;1;2;3;4;3;2;4;2;2;2;2;3;3;2;3;2;2;2;2;2;4;5;5;4;5;3;5;4;3;2;3;1;1;1;2;5;5;1;1;4;1;2;2;2;3;4;4;3;1
1;7;14;11;19;4;3;2;4;4;3;2;4;2;4;5;3;2;2;5;4;2;3;4;2;3;2;3;4;4;4;2;3;4;4;2;3;4;1;3;3;2;4;3;2;3;5;5;5;5;4;4;4;5;4;4;3;3;2;4;4;5;4;2;2;3;2;3;2;2;3;3;3;2;3
1;15;14;13;14;2;2;1;2;2;2;1;2;2;2;5;2;2;1;4;4;2;4;4;2;1;2;4;3;4;3;2;1;4;3;2;4;3;2;2;4;2;4;3;1;4;5;5;5;5;3;4;5;3;4;5;4;4;3;4;4;3;5;2;2;4;1;2;2;2;3;4;4;1;2
1;6;15;13;9;4;2;4;3;2;4;4;2;4;4;3;2;2;2;4;3;2;4;3;4;3;2;3;4;3;3;3;3;3;3;2;2;2;3;2;3;3;3;4;2;3;3;5;5;5;3;3;3;2;3;2;3;2;2;3;4;3;2;2;2;3;2;3;2;2;3;3;2;2;2
3;13;11;15;12;4;3;5;5;4;3;3;4;3;3;5;3;3;4;4;4;3;2;5;2;5;3;3;2;3;3;2;2;3;2;2;3;3;3;2;3;2;3;4;2;4;5;5;5;5;3;4;3;3;5;3;4;2;2;2;5;4;1;1;2;3;2;3;2;2;2;4;3;1;2
3;2;9;2;6;3;2;5;2;4;2;3;5;2;4;5;1;2;1;2;4;3;3;5;2;1;1;2;4;4;4;1;1;4;4;2;3;3;3;2;3;2;3;4;1;4;4;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;3;1;2;2;1;2;2;1;2;2;2;1;1
1;12;9;11;10;3;2;3;2;5;3;2;1;2;1;1;1;1;1;1;3;2;2;5;2;2;2;4;4;4;4;2;1;4;4;2;4;3;2;1;3;1;4;3;1;4;5;5;5;5;3;5;5;5;3;1;1;5;1;1;5;3;3;2;2;4;1;4;1;1;1;4;4;1;3
2;19;15;13;7;2;2;2;2;2;3;3;2;1;2;2;2;2;3;4;4;2;4;4;2;2;3;3;4;4;3;2;2;4;3;3;3;3;3;2;4;2;3;3;3;4;4;5;5;5;4;4;4;5;5;5;4;5;4;5;4;5;2;2;2;3;2;2;2;2;2;2;2;2;2
2;6;6;11;6;2;2;2;2;2;2;2;2;3;3;4;2;2;2;4;4;2;4;4;2;2;1;3;3;4;3;1;2;4;3;1;3;4;2;1;4;1;3;4;1;4;4;4;5;5;3;3;3;4;4;4;5;5;4;4;5;4;3;2;2;3;2;2;2;2;3;3;3;1;3
3;9;13;7;8;2;3;3;3;2;3;3;4;3;2;4;2;3;4;2;2;3;2;5;1;2;2;2;2;4;3;2;2;3;2;2;3;3;2;2;3;2;3;3;2;3;3;5;5;5;4;4;4;3;2;1;3;3;1;2;3;4;3;2;2;3;2;3;3;3;2;4;4;3;1
3;5;6;7;2;1;2;2;2;2;2;1;4;1;1;5;1;2;1;3;4;2;2;3;1;1;1;3;2;4;4;1;1;4;4;1;4;4;1;1;4;1;4;4;1;4;5;5;5;5;2;3;3;5;3;3;4;4;2;5;1;5;3;1;1;3;2;3;2;1;2;4;4;1;2
3;19;14;7;10;2;3;1;3;1;2;2;2;4;4;4;2;2;3;4;4;3;4;5;3;2;2;3;4;4;4;1;2;4;3;2;3;3;2;3;4;1;3;3;1;4;5;5;5;5;4;5;4;5;5;5;3;3;3;2;4;3;3;2;2;4;1;3;2;3;2;3;2;3;1
1;10;15;11;15;4;3;2;4;2;2;2;5;5;2;3;2;2;2;4;5;3;4;5;3;2;3;3;3;3;4;2;3;3;3;2;3;3;3;3;3;2;3;3;2;2;5;5;5;5;5;5;5;5;5;5;4;4;4;3;3;3;5;2;2;3;1;3;2;3;3;3;3;1;3
1;8;12;5;9;2;3;2;2;1;4;2;1;4;4;4;2;1;2;4;4;3;1;4;2;2;2;3;3;3;2;2;3;3;3;2;3;3;2;2;3;2;3;3;2;3;4;5;5;5;3;4;4;3;4;4;5;4;2;3;4;5;3;1;2;3;2;2;2;2;2;3;3;1;2
2;13;11;11;10;3;2;1;4;5;4;3;5;3;1;5;3;2;2;3;4;3;3;5;1;2;2;3;4;4;3;1;2;3;4;2;4;3;2;1;3;1;4;3;1;4;5;5;5;4;4;5;4;5;4;5;3;5;3;3;3;4;2;1;2;3;2;1;2;2;3;4;3;1;3
2;5;12;9;11;5;2;5;5;4;3;4;3;3;2;5;3;4;4;3;2;2;2;4;5;1;2;3;2;3;4;2;3;3;3;3;2;4;2;2;3;2;3;2;2;2;4;5;5;5;4;4;5;2;4;4;5;5;4;4;5;2;2;3;2;3;2;3;2;2;2;3;3;1;2
3;6;5;7;6;2;2;2;4;2;4;2;5;5;2;3;2;2;2;3;3;2;1;4;2;1;2;4;3;3;4;1;1;3;2;3;2;3;3;1;3;2;3;2;1;3;5;5;5;5;3;3;5;5;5;5;2;4;2;4;1;4;3;2;2;4;2;2;1;1;2;4;2;1;2
2;14;12;11;8;1;2;1;2;1;1;1;2;2;2;3;2;2;2;2;2;2;3;5;2;2;2;3;4;3;3;2;2;4;2;2;3;3;2;3;4;2;4;4;1;4;5;5;5;5;5;4;5;1;2;2;4;2;2;2;5;3;2;2;2;4;2;2;2;3;3;3;4;1;2
2;5;5;11;11;2;2;2;2;3;2;3;4;3;2;4;2;2;3;3;2;1;2;5;2;2;2;3;3;4;3;2;2;4;3;2;2;3;3;2;3;2;2;2;3;3;5;5;5;5;3;4;3;5;3;2;3;4;3;4;5;3;1;1;1;4;2;2;2;2;1;1;2;1;3
2;7;9;7;8;3;2;2;2;2;3;2;5;3;4;5;2;2;2;5;4;2;3;5;2;1;2;3;2;4;3;2;3;4;2;3;2;3;3;1;3;2;2;4;2;4;3;5;5;5;3;3;3;3;3;4;4;4;4;1;3;4;4;2;2;2;2;1;2;2;3;2;3;1;3
1;17;13;13;15;2;3;4;3;1;2;2;4;4;3;4;2;3;2;3;4;3;3;1;5;2;2;3;4;4;4;2;2;4;3;2;3;3;2;2;3;2;3;3;2;3;5;5;4;5;4;5;4;5;5;5;3;4;3;2;4;4;2;2;2;3;2;3;2;2;3;4;4;1;3
1;14;16;11;13;2;4;1;2;1;2;2;1;4;2;2;3;2;2;5;5;2;2;5;1;2;2;3;4;3;4;2;2;4;4;1;4;4;1;3;4;2;3;3;2;4;5;5;5;5;5;5;5;4;4;2;5;4;5;2;5;4;3;2;2;3;1;2;2;3;2;3;3;2;1
1;12;12;13;8;2;2;1;2;1;2;1;4;4;1;1;2;1;2;5;4;2;1;5;1;5;2;3;4;3;4;1;2;4;3;1;4;4;1;1;3;1;4;4;2;4;5;5;5;5;4;5;5;1;3;3;4;5;1;2;5;3;2;1;2;4;1;3;1;2;4;4;4;1;3
3;5;8;7;6;2;1;2;4;5;1;4;5;2;1;5;1;1;4;5;5;1;2;5;1;1;2;2;3;3;3;2;2;4;4;2;4;4;1;2;4;1;3;3;1;4;5;5;5;5;3;5;5;5;2;3;5;5;2;3;5;5;4;2;3;4;1;2;1;2;3;4;4;1;3
2;7;11;9;8;4;3;2;2;4;3;2;4;3;2;5;3;4;3;3;2;4;2;2;3;3;2;2;3;4;3;2;2;3;3;2;3;3;2;2;3;2;2;3;2;3;4;5;4;5;3;4;3;4;4;3;4;4;2;3;2;2;1;2;1;3;2;2;2;2;3;3;3;1;3
2;11;12;13;11;1;2;1;2;1;2;2;1;1;2;5;2;2;1;2;4;4;2;5;1;1;2;3;4;4;4;2;2;4;1;1;1;3;2;1;3;2;2;3;2;2;5;5;5;5;4;4;4;5;5;5;5;5;4;4;4;4;3;2;2;3;2;2;2;2;2;3;3;2;2
3;4;9;5;6;2;2;2;2;4;2;2;5;1;3;5;2;3;3;5;1;2;4;5;1;2;1;2;1;4;3;2;2;3;3;1;2;3;2; ;3;1;3;4;2;3;2;3;4;2;3;4;1;4;3;3;2;4;1;3;1;2;3;2;4;3;2;3;1;2;2;3;4;1;3
3;6;11;9;6;2;2;2;3;2;2;3;5;4;4;5;1;2;2;3;1;1;5;1;2;2;1;3;4;4;3;2;1;4;4;1;3;3;2;1;3;1;3;3;1;4;4;5;5;4;2;3;3;4;5;5;4;5;2;3;1;4;1;1;2;4;2;2;1;1;1;3;4;1;2
3;0;9;5;2;4;2;3;3;3;3;2;5;5;2;5;2;2;4;3;2;4;2;3;2;5;1;3;2;4;3;2;2;4;4;1;4;4;2;1;4;1;4;4;2;3;5;5;5;5;4;5;4;4;4;4;3;4;4;3;3;1;4;3;3;4;3;2;2;3;2;3;3;1;3
3;15;14;14;8;2;2;2;4;2;3;4;5;3;1;2;3;2;1;3;4;2;4;5;1;4;3;2;1;3;4;3;2;3;3;3;3;2;4;1;3;3;2;2;3;2;5;5;4;4;3;3;3;4;3;2;2;3;3;2;3;4;3;3;3;3;2;2;3;3;2;2;1;1;3
2;17;12;14;8;3;2;2;2;2;3;1;2;1;1;3;2;2;1;4;2;2;1;5;1;1;2;4;4;4;4;2;1;4;3;2;3;3;3;3;3;2;4;3;1;4;5;5;5;5;3;3;4;5;5;5;5;5;3;5;5;5;3;2;2;3;2;2;2;2;3;3;3;1;3
1;6;11;7;11;3;2;2;2;2;2;2;3;2;1;4;2;2;1;5;3;2;5;5;2;3;2;3;1;2;3;3;1;4;3;1;3;3;2;2;3;2;3;3;2;3;4;5;4;5;4;4;4;4;3;2;4;3;4;4;4;4;2;1;1;4;2;4;1;2;2;4;4;2;2
1;12;19;11;19;3;2;2;2;2;3;4;2;4;1;2;4;1;3;4;3;2;3;3;2;2;2;3;4;3;3;2;3;4;3;3;3;3;2;3;3;2;3;4;2;4;5;5;5;5;4;5;4;3;5;5;4;4;2;4;4;5;3;1;2;3;1;3;2;2;2;2;3;3;1
3;3;5;7;8;4;4;2;4;4;5;4;5;3;5;2;4;5;4;5;5;5;2;3;3;2;3;2;3;4;2;3;3;1;2;4;1;1;1;1;2;3;1;2;3;2;1;1;3;3;1;2;1;1;3;4;3;1;2;1;2;1;2;3;4;1;3;1;4;3;1;1;1;1;3
3;5;5;5;4;3;2;1;2;2;2;2;5;2;2;2;2;3;3;4;2;2;1;5;1;1;2;3;3;3;3;3;4;3;2;2;2;3;1;3;3;2;3;3;1;3;2;4;4;4;3;3;4;4;4;4;4;3;5;3;4;2;1;2;2;3;2;2;3;2;3;3;2;1;2
1;14;15;13;11;2;2;2;2;3;3;2;4;4;3;3;4;3;4;4;4;2;4;4;2;3;3;3;3;3;4;3;2;4;2;2;2;3;3;3;3;2;1;2;2;4;3;5;4;4;1;3;3;1;1;1;4;2;2;2;4;3;3;2;2;3;2;2;2;2;3;3;3;1;3
1;17;12;15;16;2;3;1;2;1;2;2;1;4;4;2;4;1;1;5;3;3;4;5;1;2;2;3;3;4;4;2;1;4;3;1;3;4;4;3;4;1;3;4;2;4;5;5;5;5;5;5;4;5;5;4;4;5;3;5;5;4;4;1;1;4;1;4;1;1;2;4;4;3;1
1;19;14;15;19;2;3;1;2;2;4;4;4;2;2;1;5;4;5;4;5;5;2;5;2;2;3;3;4;4;3;3;3;4;1;4;1;3;2;3;2;3;2;2;3;1;5;5;4;4;4;3;2;2;3;1;3;5;3;3;3;5;2;1;2;3;1;3;2;2;3;4;4;3;1
2;21;17;18;9;3;2;2;4;2;2;2;3;4;3;4;2;4;1;5;3;2;4;4;2;2;2;3;4;4;3;2;2;3;4;2;3;3;2;3;3;2;4;3;2;4;5;4;5;5;4;4;4;5;5;5;4;3;5;3;4;5;3;1;1;3;1;3;1;2;3;3;2;2;3
2;6;13;11;4;2;2;2;2;2;2;4;3;3;3;3;3;2;2;3;2;2;2;5;2;2;3;2;1;3;3;3;3;3;3;3;2;3;2;4;3;2;3;3;2;2;4;3;4;4;4;4;3;2;2;2;4;2;2;2;2;3;1;2;2;3;2;2;1;2;1;2;3;1;3
2;19;5;13;10;4;2;2;3;2;2;2;4;2;3;5;4;2;1;3;1;3;2;4;3;4;3;2;2;3;3;3;3;3;4;3;2;2;3;2;3;3;2;3;3;2;4;5;5;5;3;3;3;4;4;3;4;2;3;2;2;2;1;3;2;2;3;2;1;2;2;2;3;1;3
3;8;10;9;9;3;2;3;3;2;3;4;5;5;1;2;1;1;4;3;1;3;3;3;3;1;2;3;4;4;4;2;2;4;4;4;4;3;3;3;3;2;4;4;2;3;2;5;5;5;5;5;5;2;3;2;2;4;1;3;5;5;3;1;1;4;2;4;3;2;3;4;4;2;3
1;22;19;11;19;2;3;1;3;2;2;3;1;4;1;2;2;2;2;4;2;2;4;4;4;3;2;3;3;3;4;2;2;4;3;2;4;3;2;4;4;2;3;4;2;3;5;5;5;5;5;5;5;4;4;4;4;4;4;3;5;5;4;2;2;4;2;3;2;2;3;4;4;2;1
1;1;9;11;12;2;3;2;2;2;3;3;4;3;2;1;2;2;1;3;5;2;2;2;1;2;2;3;3;3;3;2;2;3;3;2;3;3;3;3;4;2;3;4;2;4;5;3;5;4;4;4;4;4;3;4;4;3;3;4;3;2;2;2;2;3;2;3;2;2;3;3;3;1;3
1;15;14;9;12;2;3;2;2;2;2;1;2;3;2;4;3;2;4;4;4;4;3;4;2;2;2;3;3;4;4;2;2;4;4;2;3;3;3;3;3;2;3;4;2;3;4;5;4;5;4;4;3;3;3;3;3;3;4;2;4;2;1;2;2;3;2;2;2;2;1;4;3;3;1
1;19;16;15;14;3;3;2;2;2;3;2;4;3;2;4;3;2;4;4;4;2;4;4;4;3;2;2;2;3;2;3;3;3;2;2;3;3;3;2;3;2;3;2;3;3;2;5;5;5;3;4;4;2;3;2;3;4;3;3;4;4;2;2;3;3;2;2;2;2;1;3;2;2;1
2;0;5;2;2;4;2;5;4;4;2;3;5;1;1;3;2;5;1;2;2;1;1;5;5;4;2;2;1;4;3;2;2;3;2;2;2;2;3;3;3;2;2;2;1;2;3;3;3;3;2;2;2;5;4;2;2;2;2;3;3;5;2;1;2;2;1;1;4;4;1;1;1;1;2
2;10;6;11;8;2;3;2;3;2;2;2;4;3;2;5;2;2;2;5;3;2;3;5;1;2;2;3;3;3;4;1;2;4;3;1;3;3;2;1;4;2;4;3;2;4;3;5;5;5;4;4;3;2;2;1;3;2;2;1;3;5;3;2;2;3;2;3;2;2;2;3;4;1;2
2;8;16;14;11;5;2;2;2;1;3;2;4;4;3;4;2;2;4;5;5;2;4;5;1;2;2;3;4;4;3;2;2;4;4;2;3;3;2;4;4;1;4;3;2;4;3;5;5;5;4;4;3;4;2;2;3;2;2;1;4;3;2;2;2;3;2;2;2;2;2;3;3;1;2
3;4;5;9;4;3;2;1;3;2;2;1;3;4;4;5;3;2;1;2;3;2;2;3;3;1;2;3;1;3;3;1;1;3;2;1;3;3;2;1;3;1;3;3;1;3;1;3;5;5;4;3;2;3;1;1;3;2;2;2;3;4;2;2;1;3;2;3;2;1;2;2;4;1;3
3;0;11;7;7;5;3;1;2;5;2;2;2;3;1;3;1;3;3;2;1;4;1;4;2;3;1;1;3;3;4;2;2;3;3;1;3;4;1;2;3;1;3;4;2;3;5;5;3;5;5;5;5;5;5;5;5;5;5;5;2;4;5;1;2;3;2;3;1;1;3;2;3;1;3
3;4;5;7;4;4;1;2;4;2;1;2;4;1;1;5;1;4;5;2;2;4;1;5;5;1;1;1;3;3;2;1;1;4;3;1;2;4;2;4;3;1;3;4;1;4;4;4;5;5;2;4;5;5;4;5;5;4;1;5;1;5;4;2;2;3;2;2;2;1;3;3;3;1;2
3;11;11;9;6;5;2;2;3;3;2;1;5;2;2;5;1;3;2;3;2;2;1;5;1;1;2;3;3;4;3;1;1;4;2;1;1;4;1;2;4;1;2;3;1;4;5;5;5;4;3;3;3;4;5;5;3;3;3;3;5;3;1;2;2;3;2;2;2;2;3;3;3;1;3
2;22;15;15;11;2;2;2;2;3;2;2;2;4;3;4;2;3;2;4;3;3;3;1;2;2;2;3;3;4;3;2;2;4;3;1;3;3;2;3;3;2;3;4;2;3;5;5;5;5;3;4;4;5;5;5;4;5;4;5;4;4;3;1;2;3;2;3;2;2;2;3;3;3;1
2;9;8;7;11;1;2;2;3;1;1;1;1;1;3;5;1;1;1;5;2;1;3;2;2;1;1;3;1;3;4;1;1;3;3;2;4;4;1;1;3;1;4;4;1;4;4;5;5;5;5;5;5;4;4;4;5;5;3;3;4;4;3;2;2;4;2;1;1;1;2;4;4;1;3
2;12;15;11;8;2;2;2;3;2;1;1;5;4;4;2;1;2;1;5;5;1;4;4;2;2;2;3;4;4;3;1;2;4;3;1;3;3;2;2;4;2;3;3;1;4;5;5;5;5;4;5;4;5;5;5;4;5;4;5;5;5;1;2;2;3;2;1;1;2;1;3;2;2;3
1;14;5;9;11;2;2;2;3;3;2;3;2;1;2;5;3;3;2;3;3;3;4;5;2;1;3;3;4;4;4;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;4;5;5;4;3;3;3;2;4;4;4;4;5;3;3;4;1;2;1;2;1;4;2;2;1;2;4;1;3
1;5;10;13;6;2;2;2;3;4;3;2;5;1;2;1;2;2;2;5;5;2;2;2;4;1;1;3;4;4;4;2;2;4;3;2;3;3;2;3;3;2;3;3;1;3;5;4;5;5;3;4;3;2;1;2;3;3;2;2;4;4;1;1;1;4;3;1;1;1;3;4;4;1;3
3;10;9;9;2;2;2;2;2;2;2;2;5;4;2;5;1;1;2;5;4;2;2;5;1;2;2;2;3;4;2;2;2;4;4;3;4;4;1;1;3;1;4;4;1;4;5;5;4;5;4;4;4;5;5;5;4;5;5;4;5;5;5;2;2;4;2;2;2;2;2;4;4;1;3
2;25;16;11;11;2;2;1;3;1;2;4;4;4;4;4;4;4;4;3;2;4;4;5;2;3;3;2;2;4;3;3;3;3;3;3;2;3;3;2;3;3;2;2;3;3;3;3;5;5;3;3;2;3;3;3;2;2;3;3;2;3;3;3;2;3;2;2;3;3;3;2;2;1;1
3;6;14;9;6;2;2;4;4;2;2;2;3;4;2;4;2;2;2;3;4;2;2;5;3;1;2;4;3;4;3;1;1;3;3;2;3;3;2;1;3;2;2;3;3;3;4;5;5;5;4;4;4;5;4;5;4;4;3;4;4;5;4;2;2;3;2;3;1;2;2;4;4;3;1
3;6;9;9;4;5;2;5;5;5;4;3;1;1;2;5;5;5;5;5;4;5;3;3;3;3;4;1;1;2;2;4;3;1;1;3;1;2;4;1;1;3;1;1;3;2;1;5;4;5;1;3;3;1;1;1;2;3;2;4;1;3;4;2;1;3;2;2;2;2;3;3;3;1;2
2;16;17;11;15;1;3;2;2;2;2;3;2;1;1;3;4;4;2;4;3;4;4;5;1;3;2;3;2;3;4;2;2;3;2;3;3;3;2;2;3;2;3;3;2;4;4;4;5;5;3;3;3;3;3;3;3;3;3;2;3;3;3;2;2;4;1;2;2;2;3;3;4;3;1
2;11;15;14;12;2;1;1;1;1;1;4;4;3;2;3;2;2;5;4;2;2;4;5;1;3;2;2;3;4;3;2;3;3;2;3;2;3;2;2;3;2;2;2;2;2;4;5;5;4;2;4;3;3;2;2;3;3;3;2;4;3;4;2;2;3;2;3;2;3;2;2;2;2;2
2;10;15;9;12;4;2;2;2;4;3;3;4;4;4;4;3;3;2;3;4;2;4;5;2;1;3;3;4;4;3;2;1;4;3;3;3;2;3;2;3;2;3;3;2;4;4;3;5;5;2;4;2;4;4;4;3;2;4;2;5;3;5;2;2;3;2;3;2;3;2;3;3;2;2
2;6;13;13;10;1;2;4;1;4;2;2;1;2;2;4;2;2;2;4;2;2;2;5;4;2;2;3;1;3;3;2;2;4;4;1;3;4;1;1;4;1;4;3;2;3;5;4;3;4;4;4;3;4;4;5;4;5;2;3;2;2;2;2;2;3;3;3;2;2;2;3;3;1;2
1;14;14;11;15;3;2;2;1;1;3;1;5;5;2;5;2;2;1;5;3;2;5;5;2;1;1;3;4;4;4;1;2;4;4;1;3;4;1;4;4;1;4;3;1;4;3;5;5;5;3;5;5;2;2;2;3;3;3;2;5;4;2;1;2;4;2;3;2;2;3;4;4;1;3
1;3;9;13;12;2;2;1;1;1;3;1;3;2;1;4;3;2;1;5;4;2;4;5;1;1;1;3;2;4;4;1;2;4;3;1;4;4;1;2;4;1;4;4;1;4;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;4;4;1;1;4;1;3;2;1;2;4;4;1;3
3;7;8;9;4;2;2;3;3;3;2;2;3;3;2;4;2;3;2;2;2;2;2;3;5;2;1;3;2;2;2;2;2;3;2;2;3;2;3;2;3;2;3;3;2;3;4;4;5;5;4;4;4;2;3;2;4;4;2;4;4;3;2;3;4;2;3;1;2;1;2;1;1;2;2
3;4;12;9;6;3;2;3;3;4;2;2;5;1;1;5;2;2;5;3;2;3;2;3;3;1;2;3;2;3;3;2;3;4;3;2;3;2;2;1;3;2;3;4;2;4;5;5;4;5;4;4;5;3;2;2;4;2;4;3;5;4;2;2;2;3;1;2;1;1;2;3;3;1;3
3;0;8;3;4;5;3;5;5;5;2;3;5;5;4;5;2;5;2;2;3;3;1;5;5;3;3;2;1;3;4;2;1;4;1;3;1;4;3;3;3;2;4;4;1;1;5;5;5;5;5;5;3;5;4;5;5;5;3;4;1;2;2;1;1;2;2;1;2;1;2;2;1;1;2
3;6;11;5;6;2;2;2;4;2;2;1;2;5;1;2;2;4;4;5;4;4;1;5;1;2;1;3;1;4;3;1;2;4;2;1;3;3;2;3;4;1;4;3;2;4;5;5;5;4;3;3;5;1;2;3;3;2;3;2;3;4;1;1;2;3;2;2;3;2;2;3;3;1;3
1;15;12;9;13;2;3;2;5;4;2;3;4;2;2;3;4;4;4;3;4;4;2;3;3;3;3;3;2;3;4;2;1;4;2;3;1;2;3;3;3;3;2;3;2;3;5;5;5;5;2;4;3;3;2;1;3;3;1;1;4;4;3;2;2;3;1;2;2;3;2;4;2;1;3
1;16;13;13;13;2;3;2;2;2;3;3;2;2;4;3;3;3;3;4;5;4;5;1;1;2;2;4;3;4;4;2;2;4;4;2;4;3;2;4;3;2;4;3;2;3;5;3;4;4;4;4;4;4;5;5;4;4;5;5;4;4;2;1;2;3;1;3;2;2;3;3;3;3;1
1;6;15;13;19;2;2;1;3;2;2;3;4;1;2;3;2;2;1;4;5;3;2;5;2;2;2;3;4;4;3;2;2;4;3;1;4;4;1;3;3;2;4;4;1;4;4;5;5;5;3;5;5;5;5;5;4;5;5;5;5;4;4;1;2;3;1;3;2;2;3;4;3;1;2
