3035 2 3 2 9 8 8 9 8 7 9 9 9 8 9.50 9.50 9.50 9.50 8 8 8 7 7 7 7.50 8.00 9.00 9 9 7 8 9 8 7 8 8.70 NA 37 40 31 48 44 34 32 46 37 36 36 35 40 40 2 2 1 1 1
3036 2 3 2 8 10 NA 8 10 NA 10 10 9 10 NA NA NA NA 9 NA 8 9 9 9 NA NA NA NA NA 9 9 NA 8 9 NA 9.70 9.60 55 43 43 42 39 45 44 43 40 32 40 37 47 47 2 1 NA 1 1
3038 2 3 3 8 9 9 9 8 9 8 9 9 9 9.50 10.50 10.50 10.50 9 9 9 9 8 8 10.50 9.50 9.50 9 8 8 8 10 8 8 10 9.40 9.30 28 31 29 29 42 47 37 23 40 47 42 44 37 34 1 2 1 1 2
3039 2 3 1 8 8 9 8 8 8 6 7 8 8 9.50 NA NA NA 8 7 7 7 7 8 9.50 NA NA 8 8 7 8 8 7 7 9 8.30 8.20 35 28 37 30 39 45 34 23 25 39 36 36 31 28 2 2 NA 2 3
3040 2 3 2 9 8 8 8 8 8 7 8 8 8 7.50 6.50 8.50 9.50 8 8 7 7 7 7 8.50 7.50 6.50 7 7 8 8 8 8 7 9 8.30 8.10 48 45 66 41 39 30 43 32 52 37 42 37 49 51 2 2 3 2 1
3041 2 3 2 8 7 NA 8 8 NA 7 7 6 7 NA NA NA NA 7 NA 8 7 7 6 NA NA NA NA NA 8 8 NA 8 7 NA NA NA 37 28 31 42 36 30 34 38 35 32 51 47 39 40 2 3 NA NA 1
3042 2 3 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8.90 8.90 39 37 35 26 29 28 29 42 31 30 34 38 31 32 NA NA NA 1 3
3043 2 3 2 9 10 NA 9 10 NA 9 9 10 10 NA NA NA NA 10 NA 9 9 10 9 NA NA NA NA NA 9 9 NA 9 10 NA 9.90 9.90 37 40 35 45 47 43 40 27 42 45 34 34 41 39 1 1 NA 1 1
3044 2 3 2 8 7 7 7 8 7 9 8 7 7 8.50 7.50 8.50 9.50 6 6 7 7 7 6 7.50 6.00 6.00 4 5 6 7 5 6 6 6 7.10 NA 32 31 33 36 42 38 38 31 37 34 28 39 34 32 2 3 3 3 3
3045 2 3 3 7 8 7 6 7 7 7 7 7 7 10.50 10.50 10.50 9.00 7 7 6 6 6 6 8.00 8.00 8.00 NA 7 6 8 7 6 8 7 7.80 NA 35 40 33 26 26 25 34 32 29 41 32 34 29 31 3 3 2 2 3
3046 2 3 2 7 8 6 7 8 7 7 7 7 7 7.00 6.00 6.00 7.50 7 6 7 7 8 8 8.50 7.00 7.00 7 7 8 8 7 8 7 6 7.50 6.90 39 37 38 29 36 43 29 24 35 32 47 53 33 32 2 2 2 2 3
3047 1 3 2 9 8 NA 8 9 NA 7 7 8 8 NA NA NA NA 8 NA 8 8 8 7 NA NA NA NA NA 8 7 NA 8 8 NA 8.40 8.30 39 39 47 42 34 32 32 37 29 30 44 30 36 37 2 2 NA 2 2
3050 1 3 1 8 8 9 7 9 9 8 8 9 9 9.50 8.50 7.50 9.50 9 9 8 9 8 9 8.50 8.50 9.50 8 8 9 9 8 8 8 8 8.70 8.50 32 29 37 32 36 36 31 51 31 39 32 34 34 33 2 1 1 1 3
3051 1 3 2 7 7 8 7 6 7 7 6 6 5 5.00 5.00 6.50 8.00 7 8 8 7 7 7 8.50 8.00 10.00 7 6 8 7 7 8 6 7 7.70 NA 30 32 35 38 42 28 41 31 33 24 28 35 30 30 2 2 1 2 3
3052 2 3 2 8 9 NA 8 9 NA 7 8 8 8 NA NA NA NA 8 NA 8 8 8 7 NA NA NA NA NA 9 8 NA 8 9 NA 8.10 7.80 39 44 41 32 36 41 34 42 40 37 38 25 37 37 2 2 NA 2 2
3053 2 3 1 9 10 9 9 9 9 9 9 9 10 10.50 10.50 10.50 11.50 10 9 9 9 9 10 10.50 11.50 10.50 8 9 9 10 9 9 10 9 9.40 9.30 53 44 15 33 44 43 43 43 42 28 40 38 46 45 1 1 1 1 1
3054 2 3 2 8 9 8 8 9 7 8 8 8 8 8.50 8.50 9.50 7.00 8 8 8 9 8 8 8.50 8.00 6.00 8 8 8 9 8 7 8 8 7.80 7.40 32 28 31 29 42 25 31 31 37 36 28 27 25 25 2 2 3 2 3
3055 2 3 2 7 7 5 7 7 4 7 6 7 7 5.00 7.00 9.00 7.00 6 5 6 7 7 5 6.50 5.00 6.00 5 5 7 5 5 6 6 4 6.30 5.50 35 33 31 41 36 28 32 27 29 41 40 39 33 34 3 3 3 3 2
3056 2 3 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8.30 8.10 37 43 33 38 36 34 38 31 31 41 32 36 36 36 NA NA NA 2 2
3057 2 3 3 8 7 7 6 8 9 8 8 7 7 7.50 7.00 7.00 8.50 7 7 8 8 7 7 8.50 8.00 7.00 6 7 8 7 NA 6 6 7 7.70 NA 35 28 39 35 29 41 37 42 29 30 32 25 30 29 2 2 2 2 3
3058 2 3 3 8 8 8 7 8 8 7 7 7 7 7.00 8.00 8.00 7.50 8 8 8 9 9 8 9.50 7.50 8.50 8 7 7 8 8 6 7 8 8.60 8.30 37 47 37 33 29 30 34 40 31 32 32 31 33 35 2 2 2 1 2
3059 2 3 2 8 9 8 9 9 10 8 9 8 8 8.50 8.50 8.50 10.50 8 8 8 7 7 8 10.50 8.50 8.00 8 6 7 8 8 8 8 7 7.80 7.80 28 36 33 48 36 36 31 46 35 43 32 43 40 41 2 2 2 2 1
3060 2 3 2 9 9 9 8 9 9 9 10 10 10 11.50 11.50 10.50 10.50 9 8 9 9 9 9 9.50 8.50 8.50 8 8 8 9 9 9 9 9 9.00 8.80 37 29 35 33 36 32 50 37 44 39 27 42 38 39 1 1 2 1 1
3063 1 3 2 8 8 NA 8 7 NA 8 8 8 7 NA NA NA NA 7 NA 9 8 8 7 NA NA NA NA NA 9 7 NA 8 7 NA 7.50 7.30 32 28 33 30 34 32 37 42 23 30 36 42 31 32 1 2 NA 2 3
3064 1 3 3 8 7 6 7 7 7 7 9 8 8 8.50 6.50 7.50 7.50 7 7 8 8 8 7 7.50 6.00 7.00 6 5 7 8 6 7 7 6 6.60 NA 44 45 39 33 34 38 47 35 42 32 34 36 41 41 2 2 2 3 1
3066 1 3 3 8 10 9 8 9 8 9 9 9 9 10.50 10.50 10.50 11.50 8 9 9 9 9 9 10.50 10.50 10.50 8 8 7 9 9 7 9 9 9.20 9.20 39 32 33 41 39 41 58 40 54 43 40 40 47 48 1 1 1 1 1
3067 1 3 1 9 9 8 8 9 7 8 9 9 9 8.50 NA NA NA 8 6 7 8 8 7 8.50 NA NA 6 7 8 9 7 8 8 8 7.70 7.70 30 40 35 36 36 28 32 34 31 28 30 40 32 33 2 2 NA 2 3
3068 1 3 2 7 7 6 7 7 7 7 6 6 6 6.00 8.00 7.00 6.50 8 6 7 7 6 6 7.50 7.00 7.00 7 6 7 8 7 7 8 6 7.40 6.90 28 31 29 26 29 30 40 34 33 43 27 25 26 26 2 3 2 3 3
3069 1 3 2 8 7 8 7 8 8 7 7 7 7 8.50 8.50 8.50 8.50 9 8 6 6 5 5 7.50 6.50 6.50 8 7 7 8 8 6 NA 8 8.00 7.60 30 28 33 32 36 43 32 43 44 30 38 32 33 31 3 3 3 2 3
3070 1 3 2 8 6 5 6 5 7 7 7 7 6 6.00 4.00 6.50 8.50 5 5 8 7 7 6 6.50 5.50 3.50 6 4 8 6 5 7 7 6 5.90 5.80 30 32 31 29 42 41 31 37 46 34 38 38 34 33 2 3 3 3 3
3073 1 3 3 8 8 8 9 9 8 8 9 9 9 9.50 9.50 9.50 10.50 9 8 8 9 9 9 10.50 10.50 10.50 10 9 8 9 9 9 9 8 9.00 9.10 39 39 37 33 34 28 37 37 37 34 36 37 36 37 2 1 1 1 2
3074 1 3 2 9 8 8 9 8 8 9 9 9 9 10.50 10.50 10.50 9.50 9 8 8 9 8 9 9.50 7.50 8.50 9 9 9 8 8 9 9 9 8.60 8.80 39 43 31 42 29 34 31 34 37 32 36 50 39 41 2 1 2 1 1
3075 1 3 2 7 8 8 6 8 7 7 8 8 8 9.50 9.50 9.50 9.50 8 9 7 7 8 7 9.50 9.50 8.50 8 8 7 7 8 8 7 8 8.40 8.00 32 39 39 38 36 36 40 43 40 32 42 33 39 39 2 2 2 2 1
3076 1 3 3 7 8 7 7 7 7 8 8 8 6 NA NA NA NA 9 7 7 7 6 6 NA NA NA 6 5 9 8 7 8 8 8 7.40 6.80 37 28 41 30 47 38 34 45 40 34 36 42 39 37 2 3 NA 3 2
3077 1 3 2 8 8 8 8 7 8 8 8 8 7 9.50 9.50 8.50 10.50 8 9 9 9 9 9 10.50 10.50 10.50 9 9 8 9 9 9 9 8 8.70 8.80 41 32 43 41 31 36 49 43 35 47 30 41 43 41 1 1 1 1 1
3079 1 3 2 8 8 7 8 8 7 8 9 8 9 7.50 7.50 7.50 8.50 9 8 9 9 9 10 9.50 9.50 9.50 8 8 9 10 7 8 10 7 7.50 7.20 30 43 31 39 47 38 49 40 31 36 30 32 39 37 1 1 1 2 2
3081 2 3 2 7 7 5 6 7 6 7 7 6 5 7.00 5.00 7.00 7.00 5 5 8 8 7 6 7.50 7.00 5.00 5 5 8 6 5 7 6 5 NA NA 37 36 49 48 39 38 31 38 40 36 45 39 43 43 2 3 3 NA 1
3082 1 3 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7.00 6.80 39 43 37 35 31 36 34 35 40 41 25 38 37 37 NA NA NA 3 2
3083 1 3 2 7 8 9 7 8 9 9 8 8 8 8.50 8.50 8.50 10.50 8 10 9 8 8 8 10.50 8.50 9.50 10 10 8 8 8 8 8 9 9.30 9.30 35 39 39 32 44 45 38 38 35 36 30 36 38 36 1 2 1 1 2
3084 1 3 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7.80 7.80 32 40 39 44 49 41 49 46 29 39 45 44 48 47 NA NA NA 2 1
3085 1 3 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6.90 6.60 30 28 31 45 34 43 31 32 40 32 36 30 31 30 NA NA NA 3 3
